"=""2019-10-25""",8
"=""2019-10-25""",0
"=""2019-10-25""",447
"=""2019-10-25""",0
"=""2019-10-27""",768
"=""2019-10-27""",490
"=""2019-10-27""",383
"=""2019-10-27""",383
"=""2019-10-28""",810
"=""2019-10-29""",784
"=""2019-10-31""",2
"=""2019-10-18""",978
"=""2019-10-18""",1173
"=""2019-10-11""",2001
"=""2019-11-01""",4086
"=""2019-11-01""",2844
"=""2019-11-01""",2186
"=""2019-11-01""",1342
"=""2019-11-01""",5
"=""2019-11-01""",11
"=""2019-11-01""",3
"=""2019-11-01""",1
"=""2019-11-01""",0
"=""2019-11-01""",0
"=""2019-11-01""",0
"=""2019-11-01""",0
"=""2019-11-02""",684
"=""2019-11-02""",471
"=""2019-11-04""",789
"=""2019-11-06""",494
"=""2019-11-06""",0
"=""2019-11-07""",0
"=""2019-11-08""",3855
"=""2019-11-08""",3454
"=""2019-11-08""",3242
"=""2019-11-08""",3185
"=""2019-11-08""",88
"=""2019-11-08""",29
"=""2019-11-08""",4
"=""2019-11-08""",460
"=""2019-11-08""",5
"=""2019-11-08""",3
"=""2019-11-08""",2
"=""2019-11-08""",18
"=""2019-11-08""",1
"=""2019-11-08""",4
"=""2019-11-08""",0
"=""2019-11-10""",681
"=""2019-11-11""",459
"=""2019-11-12""",121
"=""2019-11-12""",692
"=""2019-11-13""",500
"=""2019-11-14""",677
"=""2019-11-15""",3746
"=""2019-11-15""",3452
"=""2019-11-15""",2454
"=""2019-11-15""",277
"=""2019-11-15""",65
"=""2019-11-15""",13
"=""2019-11-15""",570
"=""2019-11-15""",10
"=""2019-11-15""",2
"=""2019-11-15""",2
"=""2019-11-15""",22
"=""2019-11-15""",5
"=""2019-11-15""",21
"=""2019-11-17""",752
"=""2019-11-17""",383
"=""2019-11-18""",399
"=""2019-11-19""",288
"=""2019-11-21""",388
"=""2019-11-22""",4440
"=""2019-11-22""",3491
"=""2019-11-22""",2665
"=""2019-11-22""",116
"=""2019-11-22""",2112
"=""2019-11-22""",3
"=""2019-11-22""",10
"=""2019-11-22""",2
"=""2019-11-22""",1
"=""2019-11-22""",15
"=""2019-11-22""",4
"=""2019-11-23""",186
"=""2019-11-24""",766
"=""2019-11-25""",766
"=""2019-11-26""",556
"=""2019-11-27""",3461
"=""2019-11-27""",1715
"=""2019-11-27""",28
"=""2019-11-27""",3
"=""2019-11-27""",0
"=""2019-11-29""",8
"=""2019-11-29""",6
"=""2019-11-29""",0
"=""2019-11-22""",2112
"=""2019-11-25""",766
"=""2019-12-01""",660
"=""2019-12-04""",106
"=""2019-12-05""",0
"=""2019-12-05""",3
"=""2019-12-06""",2337
"=""2019-12-06""",488
"=""2019-12-06""",175
"=""2019-12-06""",160
"=""2019-12-06""",133
"=""2019-12-06""",130
"=""2019-12-06""",12
"=""2019-12-06""",3
"=""2019-12-06""",334
"=""2019-12-06""",13
"=""2019-12-06""",1
"=""2019-12-06""",0
"=""2019-12-06""",0
"=""2019-12-06""",3
"=""2019-12-06""",0
"=""2019-12-07""",623
"=""2019-12-08""",679
"=""2019-12-09""",516
"=""2019-12-13""",4227
"=""2019-12-13""",2625
"=""2019-12-13""",2502
"=""2019-12-13""",78
"=""2019-12-13""",151
"=""2019-12-13""",2686
"=""2019-12-13""",23
"=""2019-12-13""",1721
"=""2019-12-13""",3
"=""2019-12-13""",2
"=""2019-12-13""",0
"=""2019-12-13""",0
"=""2019-12-13""",0
"=""2019-12-15""",401
"=""2019-12-16""",284
"=""2019-12-16""",737
"=""2019-12-19""",18
"=""2019-12-20""",4406
"=""2019-12-20""",3380
"=""2019-12-13""",1721
"=""2019-12-20""",18
"=""2019-12-20""",294
"=""2019-12-20""",0
"=""2019-12-20""",0
"=""2019-12-25""",3502
"=""2019-12-25""",3308
"=""2019-12-25""",125
"=""2019-12-25""",76
"=""2019-12-25""",3987
"=""2019-12-25""",182
"=""2019-12-13""",2686
"=""2019-12-25""",2457
"=""2019-12-25""",3
"=""2019-12-27""",127
"=""2019-12-27""",0
"=""2019-12-25""",3987
"=""2019-12-25""",2457
